_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,senegal/matam/matam,1,0,Sunny,46.9,116.4,18.2,11.3,19,1,2025-04-05 15:30,1743867000,0.0,0.0,29.77,1008,44.4,111.9,7.7,10,6,19,NNE,15.8,9.8,sn
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,burkina-faso/centre/ouagadougou,2,0,Sunny,43.1,109.6,17.0,10.6,11,1,2025-04-05 15:15,1743866100,0.0,0.0,29.77,1008,42.1,107.8,5.8,10,6,72,ENE,14.8,9.2,bf
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,mali/bamako/bamako,3,25,Partly cloudy,43.0,109.3,11.6,7.2,13,1,2025-04-05 15:30,1743867000,0.0,0.0,29.8,1009,42.0,107.6,6.4,10,6,108,ESE,10.1,6.3,ml
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,burkina-faso/boucle-du-mouhoun/nouna,4,0,Sunny,42.4,108.3,9.1,5.7,11,1,2025-04-05 15:30,1743867000,0.0,0.0,29.68,1005,41.6,106.9,5.9,10,6,123,ESE,7.9,4.9,bf
670788602e464133fcc131b5,-351016,Birnin Kebbi,Kebbi,Nigeria,,nigeria/kebbi/birnin-kebbi,5,0,Sunny,41.9,107.3,12.4,7.7,3,1,2025-04-05 15:30,1743863400,0.0,0.0,29.69,1005,41.3,106.3,7.7,10,6,63,ENE,10.8,6.7,ng
66decf7a934726e744d751e7,12880,N Djamena,N Djamena,Chad,194.5,chad/n-djamena/n-djamena,6,0,Overcast,41.6,106.8,25.3,15.7,7,1,2025-04-05 16:15,1743866100,0.0,0.0,29.68,1005,41.1,106.0,2.0,4,2,1,N,22.0,13.6,td
670787f32e464133fcc0955c,-340786,Kaolack,Kaolack,Senegal,,senegal/kaolack/kaolack,7,0,Sunny,40.4,104.6,22.8,14.2,20,1,2025-04-05 15:30,1743867000,0.0,0.0,29.83,1010,40.3,104.5,7.8,10,6,14,NNE,19.8,12.3,sn
670787ef2e464133fcc09260,-215293,Kano,Kano,Nigeria,,nigeria/kano/kano,8,0,Sunny,38.8,101.8,10.4,6.4,7,1,2025-04-05 16:30,1743867000,0.0,0.0,29.88,1012,39.2,102.6,3.5,10,6,51,NE,9.0,5.6,ng
670787e12e464133fcc0869b,PLLODA000068,Diffa,Diffa,Niger,,niger/diffa/diffa,9,0,Sunny,37.5,99.6,24.4,15.2,4,1,2025-04-05 16:30,1743867000,0.0,0.0,29.68,1005,38.4,101.0,2.3,10,6,31,NNE,21.2,13.2,ne
66decf80934726e744d75dc6,3774,Abu Dhabi,Abu Zaby,United Arab Emirates,100.16666666666667,united-arab-emirates/abu-zaby/abu-dhabi,10,0,Clear,40.2,104.3,10.8,6.7,8,0,2025-04-05 19:15,1743866100,0.0,0.0,29.8,1009,38.3,100.9,0.0,10,6,113,ESE,3.6,2.2,ae
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,sudan/khartoum/khartoum,11,0,Sunny,37.4,99.3,21.1,13.1,10,1,2025-04-05 17:30,1743867000,0.0,0.0,29.63,1003,38.3,100.9,0.4,10,6,14,NNE,18.4,11.4,sd
670787ea2e464133fcc08f9b,-214312,Maiduguri,Borno,Nigeria,,nigeria/borno/maiduguri,12,2,Sunny,37.3,99.2,27.8,17.2,5,1,2025-04-05 16:30,1743867000,0.0,0.0,29.68,1005,38.2,100.7,2.1,10,6,32,NNE,24.1,15.0,ng
670787e12e464133fcc086b2,PLLODA000670,Faya,Borkou,Chad,,chad/borkou/faya,13,0,Sunny,36.2,97.1,10.4,6.4,4,1,2025-04-05 16:30,1743867000,0.0,0.0,29.77,1008,37.3,99.2,1.7,10,6,353,N,9.0,5.6,td
670788602e464133fcc131a0,-37039,Ziguinchor,Ziguinchor,Senegal,,senegal/ziguinchor/ziguinchor,14,0,Sunny,36.1,97.0,19.5,12.1,37,1,2025-04-05 14:30,1743863400,0.0,0.0,29.85,1011,37.3,99.1,11.0,10,6,8,N,16.9,10.5,sn
66ded089934726e744d931d6,12674,Al Hufuf,Ash Sharqiyah,Saudi Arabia,15.0,saudi-arabia/ash-sharqiyah/al-hufuf,15,0,Clear,36.0,96.8,31.0,19.3,7,0,2025-04-05 18:30,1743867000,0.0,0.0,29.77,1008,37.2,99.0,0.0,10,6,130,SE,14.8,9.2,sa
66decf7e934726e744d75aa1,12770,Iranshahr,Sistan Va Baluchestan,Iran,32.0,iran/sistan-va-baluchestan/iranshahr,16,0,Clear,34.8,94.6,21.3,13.3,15,0,2025-04-05 18:45,1743866100,0.0,0.0,29.88,1012,36.3,97.3,0.0,10,6,287,WNW,12.6,7.8,ir
66decf94934726e744d783fb,8729,Solapur,Maharashtra,India,85.0,india/maharashtra/solapur,17,3,Clear,34.6,94.2,13.9,8.7,15,0,2025-04-05 20:45,1743866100,0.0,0.0,29.75,1008,36.1,97.0,0.0,10,6,311,NW,10.1,6.3,in
670787ea2e464133fcc08f9c,-351010,Ilorin,Kwara,Nigeria,,nigeria/kwara/ilorin,18,50,Partly cloudy,34.6,94.3,10.8,6.7,45,1,2025-04-05 16:30,1743867000,0.0,0.0,29.77,1008,36.1,97.0,4.1,10,6,106,ESE,3.6,2.2,ng
670787ea2e464133fcc08f96,-245410,Zongo,Sud Ubangi,Congo Kinshasa,,congo-kinshasa/sud-ubangi/zongo,19,75,Patchy light rain with thunder,41.4,106.5,7.1,4.4,47,1,2025-04-05 16:30,1743867000,0.0,0.03,29.71,1006,36.0,96.8,1.0,10,6,207,SSW,6.1,3.8,cd
66ded0ec934726e744d9f150,12667,Al Qatif,Ash Sharqiyah,Saudi Arabia,23.0,saudi-arabia/ash-sharqiyah/al-qatif,20,0,Clear,41.8,107.3,44.6,27.7,6,0,2025-04-05 18:30,1743867000,0.0,0.0,29.74,1007,36.0,96.8,0.0,10,6,97,E,21.2,13.2,sa
670788532e464133fcc11a2d,-243574,Bua Yai,Nakhon Ratchasima,Thailand,,thailand/nakhon-ratchasima/bua-yai,21,20,Clear,35.3,95.5,19.3,12.0,29,0,2025-04-05 21:30,1743863400,0.0,0.0,29.73,1007,35.1,95.2,0.0,10,6,185,S,11.9,7.4,th
66ded087934726e744d92efc,11619,Riyadh,Ar Riyad,Saudi Arabia,35.2,saudi-arabia/ar-riyad/riyadh,22,75,Partly cloudy,33.3,91.9,5.7,3.5,6,0,2025-04-05 18:30,1743867000,0.0,0.0,29.85,1011,35.1,95.2,0.0,10,6,1,N,3.6,2.2,sa
66decf7e934726e744d75a75,3769,Al Ayn,Abu Zaby,United Arab Emirates,95.2,united-arab-emirates/abu-zaby/al-ayn,23,0,Clear,33.3,91.9,28.0,17.4,8,0,2025-04-05 19:15,1743866100,0.0,0.0,29.88,1012,35.1,95.2,0.0,10,6,222,SW,13.3,8.3,ae
66decf75934726e744d74bf0,13449,Abuja,Federal Capital Territory,Nigeria,125.5,nigeria/federal-capital-territory/abuja,24,25,Partly cloudy,33.9,93.1,12.0,7.5,47,1,2025-04-05 16:15,1743866100,0.0,0.0,29.77,1008,35.1,95.2,3.0,10,6,197,SSW,10.4,6.5,ng
66ded0a6934726e744d969d3,11463,Ad Diriyah,Ar Riyad,Saudi Arabia,35.0,saudi-arabia/ar-riyad/ad-diriyah,25,75,Partly cloudy,33.3,91.9,11.8,7.3,6,0,2025-04-05 18:30,1743867000,0.0,0.0,29.85,1011,35.1,95.2,0.0,10,6,329,NNW,6.8,4.3,sa
66decf92934726e744d78112,11788,Bandar Abbas,Hormozgan,Iran,75.33333333333333,iran/hormozgan/bandar-abbas,26,0,Clear,35.8,96.4,24.7,15.3,15,0,2025-04-05 18:45,1743866100,0.0,0.0,29.8,1009,35.0,95.0,0.0,7,4,240,WSW,11.9,7.4,ir
670787ce2e464133fcc07213,VIR26043,Yavatmal,Maharashtra,India,,india/maharashtra/yavatmal,27,0,Clear,33.1,91.5,8.4,5.2,14,0,2025-04-05 21:00,1743867000,0.0,0.0,29.76,1008,34.9,94.8,0.0,10,6,231,SW,4.7,2.9,in
66decf95934726e744d786df,12827,Vijayapura,Karnataka,India,73.0,india/karnataka/vijayapura,28,5,Clear,33.1,91.5,8.8,5.5,19,0,2025-04-05 20:45,1743866100,0.0,0.0,29.77,1008,34.9,94.8,0.0,10,6,358,N,6.1,3.8,in
66decfd6934726e744d7f0f7,11298,Kalaburagi,Karnataka,India,45.0,india/karnataka/kalaburagi,29,5,Clear,33.3,91.9,14.1,8.8,22,0,2025-04-05 20:45,1743866100,0.0,0.0,29.76,1008,34.8,94.6,0.0,10,6,62,ENE,10.1,6.3,in
670787bf2e464133fcc06357,VIR10341,Jaisalmer,Rajasthan,India,,india/rajasthan/jaisalmer,30,0,Clear,32.9,91.2,25.7,16.0,8,0,2025-04-05 21:00,1743867000,0.0,0.0,29.73,1007,34.8,94.6,0.0,10,6,280,W,12.2,7.6,in
