_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670787e12e464133fcc086b5,PLLODX000001,Fyzabad,Uttar Pradesh,India,,1,15,Sunny,35.7,96.3,16.9,10.5,4,1,2025-04-02 09:00,1743564600,0,0.0,29.72,1007,36.8,98.2,4.3,10.0,6,305,NW,14.8,9.2,in
66ded0e4934726e744d9e29b,13814,Buxar,Bihar,India,241.0,2,7,Sunny,35.4,95.7,13.0,8.1,4,1,2025-04-02 09:00,1743564600,0,0.0,29.74,1007,36.5,97.7,5.1,10.0,6,247,WSW,11.5,7.2,in
670787c22e464133fcc06931,VIR14735,Mirzapur,Uttar Pradesh,India,,3,24,Partly Cloudy,35.2,95.4,5.0,3.1,5,1,2025-04-02 09:00,1743564600,0,0.0,29.75,1008,36.4,97.5,4.2,10.0,6,279,W,4.3,2.7,in
670787c12e464133fcc06625,VIR10423,Jaunpur,Uttar Pradesh,India,,4,44,Partly Cloudy,35.2,95.4,9.7,6.0,4,1,2025-04-02 09:00,1743564600,0,0.0,29.74,1007,36.4,97.5,4.1,10.0,6,280,W,8.3,5.1,in
670787be2e464133fcc06070,VIR7658,Faizabad,Uttar Pradesh,India,,5,26,Sunny,35.0,95.0,14.0,8.7,4,1,2025-04-02 09:00,1743564600,0,0.0,29.73,1007,36.2,97.2,4.3,10.0,6,286,WNW,11.9,7.4,in
66decf9a934726e744d78fba,6436,Geraldton,Western Australia,Australia,18.0,6,0,Sunny,35.2,95.4,33.1,20.6,17,1,2025-04-02 11:15,1743563700,0,0.0,29.85,1011,36.2,97.2,7.7,10.0,6,73,ENE,28.8,17.9,au
670787c12e464133fcc06650,VIR11981,Kulti,West Bengal,India,,7,1,Sunny,34.8,94.6,9.4,5.8,16,1,2025-04-02 09:00,1743564600,0,0.0,29.75,1008,36.0,96.8,6.0,10.0,6,226,SW,8.3,5.1,in
66ded0f1934726e744d9fcf9,14137,Begusarai,Bihar,India,262.0,8,10,Sunny,34.7,94.5,11.9,7.4,5,1,2025-04-02 09:00,1743564600,0,0.0,29.73,1007,36.0,96.8,5.6,10.0,6,273,W,10.1,6.3,in
670787ba2e464133fcc05a77,VIR509,Allahabad,Uttar Pradesh,India,,9,48,Partly Cloudy,34.3,93.7,4.3,2.7,5,1,2025-04-02 09:00,1743564600,0,0.0,29.75,1008,35.8,96.4,4.4,10.0,6,217,SW,4.0,2.5,in
670787ba2e464133fcc05a89,VIR1533,Bahraich,Uttar Pradesh,India,,10,20,Sunny,34.4,93.9,16.2,10.1,4,1,2025-04-02 09:00,1743564600,0,0.0,29.72,1007,35.7,96.3,4.1,10.0,6,317,NW,14.0,8.7,in
670787ba2e464133fcc05a74,VIR290,Akola,Maharashtra,India,,11,37,Sunny,34.1,93.4,19.8,12.3,14,1,2025-04-02 09:00,1743564600,0,0.0,29.75,1008,35.7,96.3,2.9,10.0,6,85,E,16.9,10.5,in
670788622e464133fcc1365d,PLLODA00030677,Banda,Uttar Pradesh,India,,12,16,Sunny,34.2,93.6,7.9,4.9,5,1,2025-04-02 09:00,1743564600,0,0.0,29.77,1008,35.7,96.3,3.3,10.0,6,53,NE,6.8,4.3,in
670787be2e464133fcc0606d,VIR7097,Fatehpur,Uttar Pradesh,India,,13,22,Sunny,34.3,93.7,10.8,6.7,4,1,2025-04-02 09:00,1743564600,0,0.0,29.76,1008,35.6,96.1,4.1,10.0,6,304,NW,9.4,5.8,in
670787ba2e464133fcc05a7d,VIR698,Amravati,Maharashtra,India,,14,30,Sunny,34.0,93.2,12.6,7.8,11,1,2025-04-02 09:00,1743564600,0,0.0,29.76,1008,35.6,96.1,2.0,10.0,6,97,E,10.8,6.7,in
670787bf2e464133fcc06360,VIR10381,Jamuria,West Bengal,India,,15,1,Sunny,35.1,95.2,11.2,6.9,22,1,2025-04-02 09:00,1743564600,0,0.0,29.75,1008,35.5,95.9,6.0,10.0,6,216,SW,9.7,6.0,in
670787c62e464133fcc06e7c,VIR17414,Parbhani,Maharashtra,India,,16,8,Sunny,34.5,94.1,15.8,9.8,24,1,2025-04-02 09:00,1743564600,0,0.0,29.76,1008,35.4,95.7,3.9,10.0,6,190,S,13.7,8.5,in
