_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
66ded089934726e744d931d6,12674,Al Hufuf,Ash Sharqiyah,Saudi Arabia,15.0,saudi-arabia/ash-sharqiyah/al-hufuf,1,0,Sunny,41.9,107.4,20.3,12.6,5,1,2025-04-05 16:30,1743859800,0,0.0,29.77,1008,41.3,106.3,1.4,10,6,164,SSE,16.9,10.5,sa
66decf7a934726e744d751e7,12880,N Djamena,N Djamena,Chad,194.5,chad/n-djamena/n-djamena,2,0,Overcast,41.7,107.1,24.0,14.9,6,1,2025-04-05 14:15,1743858900,0,0.0,29.74,1007,41.2,106.2,8.1,4,2,18,NNE,20.9,13.0,td
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,mali/bamako/bamako,3,25,Partly cloudy,41.7,107.1,13.2,8.2,15,1,2025-04-05 13:30,1743859800,0,0.0,29.83,1010,41.2,106.2,11.3,8,4,109,ESE,11.5,7.2,ml
670788602e464133fcc131b5,-351016,Birnin Kebbi,Kebbi,Nigeria,,nigeria/kebbi/birnin-kebbi,4,0,Sunny,41.0,105.9,11.6,7.2,3,1,2025-04-05 14:30,1743859800,0,0.0,29.73,1007,40.8,105.4,10.7,10,6,73,ENE,10.1,6.3,ng
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,burkina-faso/boucle-du-mouhoun/nouna,5,4,Sunny,41.0,105.9,12.4,7.7,14,1,2025-04-05 13:30,1743859800,0,0.0,29.74,1007,40.7,105.3,11.8,10,6,142,SE,10.8,6.7,bf
66decf80934726e744d75dc6,3774,Abu Dhabi,Abu Zaby,United Arab Emirates,100.16666666666667,united-arab-emirates/abu-zaby/abu-dhabi,6,0,Sunny,40.4,104.6,32.4,20.1,6,1,2025-04-05 17:15,1743858900,0,0.0,29.8,1009,40.3,104.5,1.0,10,6,175,S,18.0,11.2,ae
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,burkina-faso/centre/ouagadougou,7,0,Sunny,40.2,104.4,16.2,10.0,18,1,2025-04-05 13:15,1743858900,0,0.0,29.85,1011,40.2,104.4,12.2,10,6,93,E,14.0,8.7,bf
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,senegal/matam/matam,8,10,Sunny,39.9,103.9,22.0,13.6,10,1,2025-04-05 13:30,1743859800,0,0.0,29.84,1010,40.0,104.0,11.7,10,6,17,NNE,19.1,11.9,sn
670787ea2e464133fcc08f9c,-351010,Ilorin,Kwara,Nigeria,,nigeria/kwara/ilorin,9,12,Sunny,41.0,105.7,5.4,3.4,23,1,2025-04-05 14:30,1743859800,0,0.0,29.74,1007,40.0,103.9,10.8,10,6,213,SSW,4.7,2.9,ng
670787ef2e464133fcc09260,-215293,Kano,Kano,Nigeria,,nigeria/kano/kano,10,0,Sunny,38.9,102.0,11.6,7.2,7,1,2025-04-05 14:30,1743859800,0,0.0,29.88,1012,39.3,102.7,10.2,10,6,63,ENE,10.1,6.3,ng
