_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
66decfa5934726e744d7a177,11288,Cuttack,Odisha,India,87.0,1,3,Sunny,42.2,107.9,5.0,3.1,12,1,2025-04-01 14:45,1743498900,0,0.0,29.68,1005,41.5,106.7,5.0,10,6,3,N,4.3,2.7,in
66decf95934726e744d786ff,11843,Ankleshwar,Gujarat,India,162.0,2,12,Sunny,42.0,107.6,17.0,10.6,6,1,2025-04-01 14:45,1743498900,0,0.0,29.68,1005,41.4,106.5,6.5,10,6,294,WNW,14.8,9.2,in
670787c22e464133fcc06922,VIR13754,Mancheral,Telangana,India,,3,3,Sunny,41.4,106.5,7.5,4.6,18,1,2025-04-01 13:00,1743492600,0,0.0,29.71,1006,41.0,105.8,7.6,10,6,187,S,6.5,4.0,in
670787c22e464133fcc06940,VIR15555,Nandod,Gujarat,India,,4,5,Sunny,41.2,106.1,13.2,8.2,5,1,2025-04-01 13:00,1743492600,0,0.0,29.72,1007,40.8,105.5,8.7,10,6,298,WNW,11.5,7.2,in
66decfb2934726e744d7ad20,13742,Bilaspur,Chhattisgarh,India,92.0,5,0,Sunny,41.1,105.9,6.2,3.9,5,1,2025-04-01 14:45,1743498900,0,0.0,29.68,1005,40.8,105.4,5.1,10,6,221,SW,5.4,3.4,in
66decfb6934726e744d7b32c,9147,Chandrapur,Maharashtra,India,143.0,6,6,Sunny,40.8,105.4,12.9,8.0,15,1,2025-04-01 14:45,1743498900,0,0.0,29.67,1005,40.6,105.0,5.7,10,6,138,SE,11.2,6.9,in
670787bf2e464133fcc06359,VIR10352,Jalgaon,Maharashtra,India,,7,4,Sunny,40.0,104.0,17.8,11.1,13,1,2025-04-01 13:00,1743492600,0,0.0,29.71,1006,40.1,104.1,6.7,10,6,95,E,15.5,9.6,in
670787c12e464133fcc06639,VIR11260,Khambhat,Gujarat,India,,8,4,Sunny,39.8,103.6,10.4,6.4,5,1,2025-04-01 13:00,1743492600,0,0.0,29.72,1007,39.9,103.8,8.8,10,6,281,WNW,9.0,5.6,in
66decfb3934726e744d7b028,13875,Durg,Chhattisgarh,India,85.0,9,2,Sunny,39.6,103.3,13.2,8.2,7,1,2025-04-01 14:45,1743498900,0,0.0,29.68,1005,39.8,103.6,5.2,10,6,349,N,11.5,7.2,in
66f39f668d1ca34b5384346b,12823,Vadodara,Gujarat,India,99.0,10,18,Sunny,39.4,102.9,8.4,5.2,4,1,2025-04-01 13:00,1743492600,0,0.0,29.72,1007,39.7,103.4,8.8,10,6,305,NW,7.2,4.5,in
670787c62e464133fcc06ea1,VIR18914,Raipur,Chhattisgarh,India,,11,0,Sunny,39.5,103.2,9.5,5.9,6,1,2025-04-01 13:00,1743492600,0,0.0,29.72,1007,39.7,103.5,7.8,10,6,338,NNW,8.3,5.1,in
670787c72e464133fcc06eff,VIR19012,Raurkela,Odisha,India,,12,1,Sunny,39.4,102.8,10.8,6.7,7,1,2025-04-01 13:00,1743492600,0,0.0,29.72,1006,39.6,103.3,7.9,10,6,12,NNE,9.4,5.8,in
