_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670787f32e464133fcc0955c,-340786,Kaolack,Kaolack,Senegal,,1,0,Clear,43.4,110.1,51.1,31.7,16,0,2025-04-01 20:30,1743539400,0.0,0.0,29.71,1006,40.2,104.4,0.0,10.0,6,336,NNW,28.4,17.7,sn
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,2,0,Clear,37.6,99.7,14.4,8.9,35,0,2025-04-01 20:30,1743539400,0.0,0.0,29.68,1005,38.4,101.1,0.0,10.0,6,326,NNW,6.8,4.3,sn
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,3,0,Clear,36.8,98.2,23.0,14.3,10,0,2025-04-01 22:30,1743539400,0.0,0.0,29.63,1003,37.8,100.0,0.0,10.0,6,307,NW,11.5,7.2,sd
66decfd9934726e744d7f6e0,11908,Merida,Yucatan,Mexico,23.0,4,75,Partly cloudy,41.2,106.1,19.9,12.3,33,1,2025-04-01 14:15,1743538500,0.0,0.0,29.8,1009,37.0,98.6,8.4,11.0,6,139,SE,17.3,10.7,mx
66ded09a934726e744d95251,9164,Minatitlan,Veracruz,Mexico,89.0,5,75,Partly cloudy,44.3,111.7,13.9,8.6,45,1,2025-04-01 14:30,1743539400,0.0,0.0,29.74,1007,36.1,97.0,9.6,11.0,6,106,ESE,11.2,6.9,mx
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,6,0,Clear,33.4,92.2,21.2,13.2,11,0,2025-04-01 20:30,1743539400,0.0,0.0,29.8,1009,35.2,95.4,0.0,10.0,6,41,NE,10.1,6.3,ml
66ded00c934726e744d857fe,9167,Monclova,Coahuila De Zaragoza,Mexico,32.0,7,0,Sunny,35.0,94.9,10.8,6.7,32,1,2025-04-01 14:15,1743538500,0.0,0.0,29.63,1003,34.4,93.9,9.1,16.0,9,331,NNW,3.6,2.2,mx
66ded0a9934726e744d96fcf,9174,Gomez Palacio,Durango,Mexico,68.0,8,0,Sunny,32.2,90.0,12.4,7.7,8,1,2025-04-01 14:30,1743539400,0.0,0.0,29.82,1010,34.2,93.6,10.1,16.0,9,239,WSW,10.8,6.7,mx
66ded00c934726e744d857c6,9165,Tepic,Nayarit,Mexico,18.0,9,0,Sunny,32.2,90.0,9.9,6.2,18,1,2025-04-01 13:30,1743539400,0.0,0.0,29.95,1014,34.2,93.6,11.1,16.0,9,321,NW,8.6,5.4,mx
66ded0e0934726e744d9d9c8,13286,Ciudad Lerdo,Durango,Mexico,141.0,10,0,Sunny,32.2,90.0,12.4,7.7,8,1,2025-04-01 14:30,1743539400,0.0,0.0,29.82,1010,34.2,93.6,10.1,16.0,9,239,WSW,10.8,6.7,mx
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,11,0,Clear,31.4,88.6,25.7,16.0,7,0,2025-04-01 20:30,1743539400,0.0,0.0,29.69,1006,33.5,92.3,0.0,10.0,6,28,NNE,12.2,7.6,bf
66ded00c934726e744d857e3,9178,Saltillo,Coahuila De Zaragoza,Mexico,100.0,12,0,Sunny,32.0,89.7,20.3,12.6,26,1,2025-04-01 14:15,1743538500,0.0,0.0,29.97,1015,33.3,91.9,10.1,16.0,9,197,SSW,17.6,11.0,mx
66ded007934726e744d84f39,9160,Piedras Negras,Coahuila De Zaragoza,Mexico,36.0,13,0,Sunny,38.3,100.9,26.9,16.7,32,1,2025-04-01 15:15,1743538500,0.0,0.0,29.62,1003,33.2,91.8,7.8,13.0,8,183,S,23.4,14.5,mx
66ded09f934726e744d95b1d,9163,Poza Rica De Hidalgo,Veracruz,Mexico,823.0,14,75,Partly cloudy,40.0,104.1,16.2,10.0,56,1,2025-04-01 14:30,1743539400,0.0,0.0,29.7,1006,33.2,91.8,9.5,6.4,3,49,NE,14.0,8.7,mx
66ded007934726e744d84f3a,223,Eagle Pass,Texas,United States,19.5,15,0,Sunny,38.3,100.9,26.9,16.7,32,1,2025-04-01 15:15,1743538500,0.0,0.0,29.62,1003,33.2,91.8,7.8,13.0,8,183,S,23.4,14.5,us
66ded005934726e744d84c1d,6305,Lakeland,Florida,United States,22.5,16,50,Partly cloudy,37.6,99.8,17.4,10.8,41,1,2025-04-01 16:15,1743538500,0.0,0.0,30.0,1016,33.1,91.6,5.3,16.0,9,244,WSW,15.1,9.4,us
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,17,0,Clear,31.0,87.7,21.9,13.6,11,0,2025-04-01 20:15,1743538500,0.0,0.0,29.77,1008,33.1,91.6,0.0,8.0,4,30,NNE,10.4,6.5,bf
66ded007934726e744d84f2b,13293,Zacatepec,Morelos,Mexico,46.0,18,25,Partly cloudy,30.9,87.5,8.7,5.4,12,1,2025-04-01 14:15,1743538500,0.0,0.0,29.97,1015,33.0,91.4,10.9,11.0,6,193,SSW,7.6,4.7,mx
66ded00c934726e744d857ee,8529,Cuernavaca,Morelos,Mexico,70.0,19,25,Partly cloudy,30.9,87.5,14.5,9.0,12,1,2025-04-01 14:15,1743538500,0.0,0.0,29.97,1015,33.0,91.4,10.7,11.0,6,182,S,12.6,7.8,mx
670787fe2e464133fcc0a426,-203737,Ciudad Guayana,Bolivar,Venezuela,,20,93,Overcast,33.7,92.7,13.2,8.2,38,1,2025-04-01 16:30,1743539400,0.0,0.0,29.75,1008,32.8,91.0,1.3,10.0,6,91,E,9.4,5.8,ve
