_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
66decf9a934726e744d78fba,6436,Geraldton,Western Australia,Australia,18.0,1,0,Sunny,34.6,94.3,18.2,11.3,22,1,2025-04-01 10:15,1743473700,0.0,0.0,29.8,1009,35.3,95.5,5.7,10.0,6,59,ENE,15.8,9.8,au
66decf97934726e744d789ee,3152,Noumea,Province Sud,New Caledonia,13.428571428571429,2,75,Moderate rain,36.4,97.5,8.7,5.4,56,1,2025-04-01 13:15,1743473700,0.07,1.74,29.77,1008,34.4,93.9,9.9,10.0,6,225,SW,5.8,3.6,nc
66ded00c934726e744d857ee,8529,Cuernavaca,Morelos,Mexico,70.0,3,100,Overcast,31.1,87.9,9.1,5.7,11,0,2025-03-31 19:15,1743470100,0.0,0.0,29.93,1014,33.2,91.8,0.0,11.0,6,178,S,7.9,4.9,mx
66ded007934726e744d84f3a,223,Eagle Pass,Texas,United States,19.5,4,0,Clear,34.2,93.6,12.9,8.0,7,0,2025-03-31 20:15,1743470100,0.0,0.0,29.74,1007,33.2,91.8,0.0,16.0,9,135,SE,6.1,3.8,us
66ded007934726e744d84f39,9160,Piedras Negras,Coahuila De Zaragoza,Mexico,36.0,5,0,Clear,34.2,93.6,12.9,8.0,7,0,2025-03-31 20:15,1743470100,0.0,0.0,29.74,1007,33.2,91.8,0.0,16.0,9,135,SE,6.1,3.8,mx
66ded007934726e744d84f2b,13293,Zacatepec,Morelos,Mexico,46.0,6,100,Overcast,31.1,87.9,9.9,6.2,11,0,2025-03-31 19:15,1743470100,0.0,0.0,29.93,1014,33.2,91.8,0.0,11.0,6,256,WSW,8.6,5.4,mx
66decf98934726e744d78cdd,5132,Mount Isa,Queensland,Australia,245.0,7,75,Partly cloudy,35.3,95.6,16.6,10.3,56,1,2025-04-01 12:15,1743473700,0.0,0.0,29.68,1005,32.4,90.3,11.8,10.0,6,35,NE,14.4,8.9,au
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,8,0,Clear,30.2,86.4,24.9,15.5,10,0,2025-04-01 03:30,1743471000,0.0,0.0,29.62,1003,32.4,90.3,0.0,10.0,6,31,NNE,11.9,7.4,sd
66ded00c934726e744d85804,199,Laredo,Texas,United States,27.666666666666668,9,0,Clear,37.4,99.3,34.7,21.5,41,0,2025-03-31 20:15,1743470100,0.0,0.0,29.77,1008,32.2,90.0,0.0,16.0,9,62,ENE,22.0,13.6,us
670787bf2e464133fcc06359,VIR10352,Jalgaon,Maharashtra,India,,10,8,Sunny,29.8,85.7,11.3,7.0,14,1,2025-04-01 07:00,1743471000,0.0,0.0,29.75,1008,32.0,89.7,0.3,10.0,6,356,N,6.8,4.3,in
