_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670787c12e464133fcc0664e,VIR11902,Krishnanagar,West Bengal,India,,india/west-bengal/krishnanagar,1,0,Sunny,37.1,98.7,22.4,13.9,26,1,2025-04-06 09:00,1743910200,0,0.0,29.8,1009,36.9,98.4,5.5,10,6,209,SSW,19.4,12.1,in
670787c22e464133fcc06946,VIR15660,Nabadwip,West Bengal,India,,india/west-bengal/nabadwip,2,0,Sunny,37.4,99.3,22.4,13.9,27,1,2025-04-06 09:00,1743910200,0,0.0,29.8,1009,36.8,98.3,5.5,10,6,209,SSW,19.4,12.1,in
670787c72e464133fcc06f10,VIR21080,Shantipur,West Bengal,India,,india/west-bengal/shantipur,3,0,Sunny,37.1,98.7,22.4,13.9,26,1,2025-04-06 09:00,1743910200,0,0.0,29.8,1009,36.8,98.3,5.5,10,6,209,SSW,19.4,12.1,in
670787c22e464133fcc0692f,VIR14301,Meghraj,Gujarat,India,,india/gujarat/meghraj,4,0,Sunny,35.3,95.6,26.1,16.2,8,1,2025-04-06 09:00,1743910200,0,0.0,29.82,1010,36.7,98.0,4.2,10,6,292,WNW,22.7,14.1,in
66ded002934726e744d84668,13878,Bisikala,Bihar,India,155.0,india/bihar/bisikala,5,0,Sunny,35.3,95.5,5.0,3.1,8,1,2025-04-06 09:00,1743910200,0,0.0,29.78,1009,36.7,98.0,5.1,10,6,135,SE,4.3,2.7,in
670787c22e464133fcc0692d,VIR14285,Medinipur,West Bengal,India,,india/west-bengal/medinipur,6,0,Sunny,37.1,98.8,20.7,12.9,27,1,2025-04-06 09:00,1743910200,0,0.0,29.79,1009,36.7,98.1,5.7,10,6,202,SSW,18.0,11.2,in
670787c12e464133fcc0663b,VIR11270,Kharagpur,West Bengal,India,,india/west-bengal/kharagpur,7,0,Sunny,37.2,98.9,21.1,13.1,27,1,2025-04-06 09:00,1743910200,0,0.0,29.8,1009,36.7,98.1,5.7,10,6,202,SSW,18.4,11.4,in
670787ba2e464133fcc05a6c,VIR151,Adilabad,Telangana,India,,india/telangana/adilabad,8,0,Sunny,35.2,95.3,14.5,9.0,17,1,2025-04-06 09:00,1743910200,0,0.0,29.83,1010,36.6,97.8,4.9,10,6,258,WSW,12.6,7.8,in
66ded004934726e744d8492a,13696,Sasaram,Bihar,India,155.0,india/bihar/sasaram,9,0,Sunny,35.2,95.4,5.4,3.4,9,1,2025-04-06 09:00,1743910200,0,0.0,29.79,1009,36.6,97.9,5.2,10,6,108,ESE,4.7,2.9,in
670787ba2e464133fcc05d4f,VIR1746,Bankura,West Bengal,India,,india/west-bengal/bankura,10,0,Sunny,35.6,96.1,16.6,10.3,23,1,2025-04-06 09:00,1743910200,0,0.0,29.79,1009,36.5,97.7,5.5,10,6,215,SW,14.4,8.9,in
