_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,sudan/khartoum/khartoum,1,0,Sunny,44.1,111.4,17.4,10.8,8,1,2025-04-02 17:30,1743607800,0.0,0.0,29.58,1002,42.7,108.9,0.4,10,6,357,N,15.1,9.4,sd
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,senegal/matam/matam,2,0,Sunny,43.5,110.2,12.4,7.7,24,1,2025-04-02 15:30,1743607800,0.0,0.0,29.62,1003,42.3,108.1,7.5,10,6,1,N,10.8,6.7,sn
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,burkina-faso/centre/ouagadougou,3,0,Sunny,41.7,107.1,9.5,5.9,6,1,2025-04-02 15:15,1743606900,0.0,0.0,29.71,1006,41.2,106.2,5.7,10,6,103,ESE,8.3,5.1,bf
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,mali/bamako/bamako,4,0,Sunny,41.7,107.1,15.7,9.8,6,1,2025-04-02 15:30,1743607800,0.0,0.0,29.71,1006,41.2,106.2,7.2,10,6,123,ESE,13.7,8.5,ml
670788602e464133fcc131b5,-351016,Birnin Kebbi,Kebbi,Nigeria,,nigeria/kebbi/birnin-kebbi,5,0,Sunny,40.7,105.3,6.6,4.1,6,1,2025-04-02 16:30,1743607800,0.0,0.0,29.61,1003,40.6,105.0,3.6,10,6,252,WSW,5.8,3.6,ng
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,burkina-faso/boucle-du-mouhoun/nouna,6,0,Sunny,40.3,104.6,9.9,6.2,4,1,2025-04-02 15:30,1743607800,0.0,0.0,29.63,1003,40.3,104.5,6.1,10,6,112,ESE,8.6,5.4,bf
670788602e464133fcc131a0,-37039,Ziguinchor,Ziguinchor,Senegal,,senegal/ziguinchor/ziguinchor,7,0,Sunny,38.6,101.5,6.2,3.9,36,1,2025-04-02 15:30,1743607800,0.0,0.0,29.71,1006,39.1,102.4,7.2,10,6,150,SSE,5.4,3.4,sn
670787f32e464133fcc0955c,-340786,Kaolack,Kaolack,Senegal,,senegal/kaolack/kaolack,8,0,Sunny,38.6,101.5,15.7,9.8,21,1,2025-04-02 15:30,1743607800,0.0,0.0,29.71,1006,39.1,102.4,7.5,10,6,7,N,13.7,8.5,sn
670787ea2e464133fcc08f9b,-214312,Maiduguri,Borno,Nigeria,,nigeria/borno/maiduguri,9,0,Sunny,38.7,101.6,18.6,11.6,8,1,2025-04-02 16:30,1743607800,0.0,0.0,29.64,1004,39.1,102.5,2.1,10,6,41,NE,16.2,10.1,ng
66decf7a934726e744d751e7,12880,N Djamena,N Djamena,Chad,194.5,chad/n-djamena/n-djamena,10,0,Overcast,38.5,101.2,14.5,9.0,8,1,2025-04-02 16:15,1743606900,0.0,0.0,29.71,1006,39.0,102.2,1.7,4,2,358,N,12.6,7.8,td
66ded089934726e744d931d6,12674,Al Hufuf,Ash Sharqiyah,Saudi Arabia,15.0,saudi-arabia/ash-sharqiyah/al-hufuf,11,0,Clear,37.2,99.0,27.3,17.0,9,0,2025-04-02 18:30,1743607800,0.0,0.0,29.8,1009,38.1,100.6,0.0,10,6,59,ENE,15.1,9.4,sa
670787ef2e464133fcc09260,-215293,Kano,Kano,Nigeria,,nigeria/kano/kano,12,0,Sunny,36.9,98.4,10.4,6.4,12,1,2025-04-02 16:30,1743607800,0.0,0.0,29.65,1004,37.9,100.2,3.0,10,6,65,ENE,9.0,5.6,ng
66decf7b934726e744d754c9,11646,Ramhormoz,Khuzestan,Iran,108.0,iran/khuzestan/ramhormoz,13,75,Partly cloudy,36.5,97.8,23.4,14.5,17,0,2025-04-02 18:45,1743606900,0.0,0.0,29.77,1008,37.3,99.1,0.0,10,6,59,ENE,13.3,8.3,ir
66ded0ea934726e744d9ee48,12669,Unayzah,Al Qasim,Saudi Arabia,25.0,saudi-arabia/al-qasim/unayzah,14,0,Clear,35.8,96.5,11.8,7.3,10,0,2025-04-02 18:30,1743607800,0.0,0.0,29.83,1010,37.1,98.8,0.0,10,6,196,SSW,7.2,4.5,sa
66ded087934726e744d92f01,12668,Buraydah,Al Qasim,Saudi Arabia,20.6,saudi-arabia/al-qasim/buraydah,15,0,Clear,35.8,96.5,11.6,7.2,10,0,2025-04-02 18:30,1743607800,0.0,0.0,29.83,1010,37.1,98.8,0.0,10,6,225,SW,6.1,3.8,sa
670787e12e464133fcc0869b,PLLODA000068,Diffa,Diffa,Niger,,niger/diffa/diffa,16,0,Sunny,34.8,94.6,18.6,11.6,7,1,2025-04-02 16:30,1743607800,0.0,0.0,29.77,1008,36.3,97.3,2.2,10,6,39,NE,16.2,10.1,ne
66ded087934726e744d92efc,11619,Riyadh,Ar Riyad,Saudi Arabia,35.2,saudi-arabia/ar-riyad/riyadh,17,0,Clear,34.7,94.4,22.8,14.2,9,0,2025-04-02 18:30,1743607800,0.0,0.0,29.91,1013,36.2,97.2,0.0,10,6,135,SE,14.4,8.9,sa
66ded0a6934726e744d969d3,11463,Ad Diriyah,Ar Riyad,Saudi Arabia,35.0,saudi-arabia/ar-riyad/ad-diriyah,18,0,Clear,34.7,94.4,24.4,15.1,9,0,2025-04-02 18:30,1743607800,0.0,0.0,29.91,1013,36.2,97.2,0.0,10,6,133,SE,15.5,9.6,sa
670787e12e464133fcc086b2,PLLODA000670,Faya,Borkou,Chad,,chad/borkou/faya,19,0,Sunny,34.1,93.5,22.0,13.6,5,1,2025-04-02 16:30,1743607800,0.0,0.0,29.83,1010,35.8,96.4,1.5,10,6,32,NNE,19.1,11.9,td
670787c62e464133fcc06ea1,VIR18914,Raipur,Chhattisgarh,India,,india/chhattisgarh/raipur,20,61,Patchy rain nearby,34.0,93.2,30.2,18.8,20,0,2025-04-02 21:00,1743607800,0.0,0.0,29.71,1006,35.6,96.1,0.0,10,6,235,SW,18.4,11.4,in
66decf7b934726e744d754cf,10632,Ahvaz,Khuzestan,Iran,174.88888888888889,iran/khuzestan/ahvaz,21,0,Clear,34.7,94.4,18.8,11.7,18,0,2025-04-02 18:45,1743606900,0.01,0.14,29.74,1007,35.4,95.7,0.0,10,6,119,ESE,9.0,5.6,ir
670787c72e464133fcc06f17,VIR21364,Sihor,Gujarat,India,,india/gujarat/sihor,22,1,Clear,33.7,92.7,18.4,11.4,12,0,2025-04-02 21:00,1743607800,0.0,0.0,29.72,1007,35.4,95.7,0.0,10,6,321,NW,10.4,6.5,in
670787ba2e464133fcc05d66,VIR2422,Bhilai,Chhattisgarh,India,,india/chhattisgarh/bhilai,23,57,Patchy rain nearby,33.9,93.0,29.9,18.6,21,0,2025-04-02 21:00,1743607800,0.0,0.0,29.71,1006,35.3,95.5,0.0,10,6,228,SW,18.4,11.4,in
66decf78934726e744d74ef3,11255,Bandar E Mahshahr,Khuzestan,Iran,111.2,iran/khuzestan/bandar-e-mahshahr,24,0,Clear,33.5,92.4,24.2,15.0,32,0,2025-04-02 18:45,1743606900,0.0,0.0,29.77,1008,35.2,95.4,0.0,10,6,119,ESE,13.3,8.3,ir
670788622e464133fcc1365d,PLLODA00030677,Banda,Uttar Pradesh,India,,india/uttar-pradesh/banda,25,38,Partly Cloudy,33.4,92.1,25.6,15.9,11,0,2025-04-02 21:00,1743607800,0.0,0.0,29.7,1006,35.2,95.4,0.0,10,6,256,WSW,12.6,7.8,in
