_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670787c22e464133fcc0691c,VIR13598,Mahadipur,West Bengal,India,,india/west-bengal/mahadipur,1,8,Sunny,35.2,95.4,16.6,10.3,5,1,2025-04-04 09:30,1743737400,0,0,29.84,1010,36.6,97.9,4.9,10,6,310,NW,14.4,8.9,in
670787bf2e464133fcc06351,VIR10037,English Bazar,West Bengal,India,,india/west-bengal/english-bazar,2,8,Sunny,35.2,95.4,16.6,10.3,5,1,2025-04-04 09:00,1743737400,0,0,29.84,1010,36.6,97.9,4.9,10,6,310,NW,14.4,8.9,in
670787c72e464133fcc06ef9,VIR18923,Rajmahal,West Bengal,India,,india/west-bengal/rajmahal,3,8,Sunny,35.2,95.4,16.6,10.3,5,1,2025-04-04 09:00,1743737400,0,0,29.84,1010,36.6,97.9,4.9,10,6,310,NW,14.4,8.9,in
670787c22e464133fcc0692d,VIR14285,Medinipur,West Bengal,India,,india/west-bengal/medinipur,4,44,Partly Cloudy,35.3,95.5,12.9,8.0,23,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,36.0,96.9,5.1,10,6,277,W,11.2,6.9,in
670787c12e464133fcc06650,VIR11981,Kulti,West Bengal,India,,india/west-bengal/kulti,5,48,Partly Cloudy,34.5,94.0,11.2,7.0,6,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,36.0,96.9,4.5,10,6,342,NNW,9.7,6.0,in
66ded001934726e744d84362,9148,Durgapur,West Bengal,India,116.0,india/west-bengal/durgapur,6,47,Partly Cloudy,34.3,93.8,11.2,7.0,11,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.9,96.7,3.8,10,6,338,NNW,9.7,6.0,in
670787bf2e464133fcc06360,VIR10381,Jamuria,West Bengal,India,,india/west-bengal/jamuria,7,47,Partly Cloudy,34.2,93.6,11.2,7.0,7,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.9,96.6,4.4,10,6,339,NNW,9.7,6.0,in
670787c12e464133fcc0663b,VIR11270,Kharagpur,West Bengal,India,,india/west-bengal/kharagpur,8,46,Partly Cloudy,35.5,95.8,12.0,7.5,25,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.9,96.7,5.1,10,6,270,W,10.4,6.5,in
66ded0e4934726e744d9e29b,13814,Buxar,Bihar,India,241.0,india/bihar/buxar,9,5,Sunny,34.2,93.6,13.2,8.2,5,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.8,96.5,4.8,10,6,252,WSW,11.5,7.2,in
66ded0f0934726e744d9fa07,13874,Arrah,Bihar,India,109.0,india/bihar/arrah,10,5,Sunny,34.2,93.6,13.2,8.2,5,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.8,96.5,4.8,10,6,252,WSW,11.5,7.2,in
670788262e464133fcc0d068,-179356,Tarkeshwar,West Bengal,India,,india/west-bengal/tarkeshwar,11,26,Partly Cloudy,36.3,97.3,15.3,9.5,29,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.8,96.4,5.3,10,6,239,WSW,13.3,8.3,in
66ded0f1934726e744d9fcf9,14137,Begusarai,Bihar,India,262.0,india/bihar/begusarai,12,3,Sunny,34.0,93.3,17.0,10.6,5,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.7,96.3,4.8,10,6,281,WNW,14.8,9.2,in
670787ba2e464133fcc05a88,VIR1526,Baharampur,West Bengal,India,,india/west-bengal/baharampur,13,20,Sunny,34.1,93.3,10.8,6.7,11,1,2025-04-04 09:00,1743737400,0,0,29.84,1011,35.7,96.3,4.2,10,6,344,NNW,9.4,5.8,in
670787ba2e464133fcc05d54,VIR1799,Barddhaman,West Bengal,India,,india/west-bengal/barddhaman,14,45,Partly Cloudy,34.8,94.7,13.2,8.2,24,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.6,96.1,4.5,10,6,277,W,11.5,7.2,in
670787be2e464133fcc0605a,VIR5759,Deo,Bihar,India,,india/bihar/deo,15,5,Sunny,34.0,93.1,7.1,4.4,10,1,2025-04-04 09:00,1743737400,0,0,29.87,1012,35.6,96.2,4.5,10,6,238,WSW,6.1,3.8,in
670787ba2e464133fcc05a8c,VIR1635,Balurghat,West Bengal,India,,india/west-bengal/balurghat,16,9,Sunny,33.9,93.1,14.1,8.7,6,1,2025-04-04 09:30,1743737400,0,0,29.84,1010,35.6,96.1,4.8,10,6,296,WNW,12.2,7.6,in
670787ba2e464133fcc05a77,VIR509,Allahabad,Uttar Pradesh,India,,india/uttar-pradesh/allahabad,17,5,Sunny,33.9,93.0,16.6,10.3,15,1,2025-04-04 09:00,1743737400,0,0,29.87,1012,35.6,96.0,4.3,10,6,262,W,14.4,8.9,in
670787c12e464133fcc06625,VIR10423,Jaunpur,Uttar Pradesh,India,,india/uttar-pradesh/jaunpur,18,5,Sunny,33.8,92.8,12.4,7.7,6,1,2025-04-04 09:00,1743737400,0,0,29.87,1012,35.5,95.8,4.2,10,6,265,W,10.8,6.7,in
66ded026934726e744d88a1e,12818,Hajipur Industrial Area,Bihar,India,168.0,india/bihar/hajipur-industrial-area,19,4,Sunny,33.5,92.4,14.5,9.0,5,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,35.3,95.5,4.8,10,6,258,WSW,12.6,7.8,in
670787c22e464133fcc06931,VIR14735,Mirzapur,Uttar Pradesh,India,,india/uttar-pradesh/mirzapur,20,5,Sunny,33.3,91.9,12.4,7.7,10,1,2025-04-04 09:00,1743737400,0,0,29.88,1012,35.1,95.1,4.4,10,6,259,W,10.8,6.7,in
670787f82e464133fcc09b46,-193912,Si Satchanalai,Sukhothai,Thailand,,thailand/sukhothai/si-satchanalai,21,11,Sunny,37.4,99.3,8.7,5.4,38,1,2025-04-04 10:30,1743737400,0,0,29.86,1011,35.0,95.0,5.3,10,6,208,SSW,7.6,4.7,th
66ded0a2934726e744d9611a,1825,Nakhon Sawan,Nakhon Sawan,Thailand,70.0,thailand/nakhon-sawan/nakhon-sawan,22,10,Sunny,37.1,98.7,14.5,9.0,37,1,2025-04-04 10:30,1743737400,0,0,29.86,1011,35.0,95.0,5.6,10,6,178,S,12.6,7.8,th
670787f82e464133fcc09b58,-45325,Sawankhalok,Sukhothai,Thailand,,thailand/sukhothai/sawankhalok,23,13,Sunny,36.3,97.3,10.8,6.7,34,1,2025-04-04 10:30,1743737400,0,0,29.87,1011,35.0,95.0,5.1,10,6,195,SSW,9.4,5.8,th
670787c22e464133fcc06946,VIR15660,Nabadwip,West Bengal,India,,india/west-bengal/nabadwip,24,56,Partly Cloudy,35.1,95.1,14.9,9.3,29,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,34.9,94.9,4.3,10,6,263,W,13.0,8.1,in
670787c12e464133fcc0664e,VIR11902,Krishnanagar,West Bengal,India,,india/west-bengal/krishnanagar,25,53,Partly Cloudy,35.4,95.8,16.2,10.0,31,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,34.9,94.9,4.5,10,6,261,W,14.0,8.7,in
66ded0e4934726e744d9e2a8,13736,Darbhanga,Bihar,India,192.0,india/bihar/darbhanga,26,4,Sunny,33.1,91.6,17.4,10.8,5,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,34.9,94.9,4.8,10,6,280,W,15.1,9.4,in
670787c72e464133fcc06f10,VIR21080,Shantipur,West Bengal,India,,india/west-bengal/shantipur,27,52,Partly Cloudy,35.4,95.7,16.2,10.0,31,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,34.9,94.8,4.5,10,6,259,W,14.0,8.7,in
670787ba2e464133fcc05d4e,VIR1722,Bangaon,West Bengal,India,,india/west-bengal/bangaon,28,27,Partly Cloudy,36.0,96.7,15.7,9.8,33,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,34.9,94.8,5.2,10,6,230,SW,13.7,8.5,in
670788282e464133fcc0d354,-250249,Phan District,Chiang Rai,Thailand,,thailand/chiang-rai/phan-district,29,5,Sunny,34.8,94.7,3.7,2.3,29,1,2025-04-04 10:30,1743737400,0,0,29.87,1012,34.9,94.7,3.8,10,6,193,SSW,3.6,2.2,th
670787ba2e464133fcc05d4f,VIR1746,Bankura,West Bengal,India,,india/west-bengal/bankura,30,48,Partly Cloudy,33.0,91.4,15.7,9.8,15,1,2025-04-04 09:00,1743737400,0,0,29.85,1011,34.8,94.7,3.0,10,6,5,N,13.7,8.5,in
670787fc2e464133fcc09e36,-234547,Lam Sonthi District,Lopburi,Thailand,,thailand/lopburi/lam-sonthi-district,31,8,Sunny,35.9,96.7,7.5,4.6,34,1,2025-04-04 10:30,1743737400,0,0,29.88,1012,34.7,94.4,6.2,10,6,187,S,6.5,4.0,th
670787c12e464133fcc0662d,VIR10745,Kakinada,Andhra Pradesh,India,,india/andhra-pradesh/kakinada,32,10,Sunny,37.7,99.9,8.3,5.1,41,1,2025-04-04 09:00,1743737400,0,0,29.91,1013,34.7,94.5,6.0,10,6,289,WNW,7.2,4.5,in
670787be2e464133fcc0606c,VIR6901,Etawah,Uttar Pradesh,India,,india/uttar-pradesh/etawah,33,2,Sunny,32.8,91.0,9.1,5.7,19,1,2025-04-04 09:00,1743737400,0,0,29.86,1011,34.7,94.4,3.8,10,6,180,S,7.9,4.9,in
670787be2e464133fcc0606d,VIR7097,Fatehpur,Uttar Pradesh,India,,india/uttar-pradesh/fatehpur,34,2,Sunny,32.8,91.1,13.2,8.2,14,1,2025-04-04 09:00,1743737400,0,0,29.87,1012,34.7,94.5,4.0,10,6,232,SW,11.5,7.2,in
670787f62e464133fcc09861,-112417,Chai Nat,Chai Nat,Thailand,,thailand/chai-nat/chai-nat,35,9,Sunny,37.5,99.6,13.7,8.5,41,1,2025-04-04 10:30,1743737400,0,0,29.87,1011,34.6,94.3,6.0,10,6,179,S,11.9,7.4,th
66ded0e6934726e744d9e58f,13626,Uthai Thani,Uthai Thani,Thailand,14.0,thailand/uthai-thani/uthai-thani,36,9,Sunny,37.5,99.6,13.7,8.5,41,1,2025-04-04 10:30,1743737400,0,0,29.87,1011,34.6,94.3,6.0,10,6,179,S,11.9,7.4,th
66decfb6934726e744d7b32d,11292,Dhanbad,Jharkhand,India,84.0,india/jharkhand/dhanbad,37,33,Partly Cloudy,32.5,90.4,11.2,7.0,9,1,2025-04-04 08:45,1743736500,0,0,29.87,1012,34.4,93.9,2.6,10,6,322,NW,9.7,6.0,in
66decf9d934726e744d795a8,11271,Asansol,West Bengal,India,203.0,india/west-bengal/asansol,38,44,Partly Cloudy,32.5,90.5,12.4,7.7,10,1,2025-04-04 08:45,1743736500,0,0,29.86,1011,34.4,94.0,2.6,10,6,333,NNW,10.8,6.7,in
670787fe2e464133fcc0a146,-206233,Song Phi Nong,Suphan Buri,Thailand,,thailand/suphan-buri/song-phi-nong,39,11,Sunny,37.2,98.9,12.4,7.7,42,1,2025-04-04 10:30,1743737400,0,0,29.87,1012,34.3,93.7,6.7,10,6,183,S,10.8,6.7,th
670787c62e464133fcc06e98,VIR18652,Purnea,Bihar,India,,india/bihar/purnea,40,3,Sunny,32.3,90.2,15.7,9.8,6,1,2025-04-04 09:00,1743737400,0,0,29.84,1011,34.3,93.7,4.8,10,6,297,WNW,13.7,8.5,in
6707882c2e464133fcc0d941,-94333,Chiang Khong,Chiang Rai,Thailand,,thailand/chiang-rai/chiang-khong,41,5,Sunny,34.9,94.7,6.6,4.1,32,1,2025-04-04 10:30,1743737400,0,0,29.85,1011,34.3,93.7,3.5,10,6,224,SW,5.8,3.6,th
66ded090934726e744d9409c,12798,Suphan Buri,Suphan Buri,Thailand,38.666666666666664,thailand/suphan-buri/suphan-buri,42,11,Sunny,37.2,98.9,12.4,7.7,42,1,2025-04-04 10:30,1743737400,0,0,29.87,1012,34.3,93.7,6.7,10,6,183,S,10.8,6.7,th
670787fc2e464133fcc09e3e,-346216,Pak Se District,Champasak,Laos,,laos/champasak/pak-se-district,43,6,Sunny,35.7,96.2,6.6,4.1,36,1,2025-04-04 10:30,1743737400,0,0,29.89,1012,34.3,93.7,8.1,10,6,188,S,5.8,3.6,la
670787f62e464133fcc09854,-352504,Fayanga,Kanem,Chad,,chad/kanem/fayanga,44,6,Sunny,35.7,96.2,6.6,4.1,36,1,2025-04-04 10:30,1743737400,0,0,29.89,1012,34.3,93.7,8.1,10,6,188,S,5.8,3.6,td
670787f62e464133fcc0984e,-234544,Wichian Buri,Phetchabun,Thailand,,thailand/phetchabun/wichian-buri,45,8,Sunny,36.9,98.4,13.7,8.5,41,1,2025-04-04 10:30,1743737400,0,0,29.87,1012,34.3,93.7,5.9,10,6,188,S,11.9,7.4,th
670787f62e464133fcc0985e,-214291,Takhli,Nakhon Sawan,Thailand,,thailand/nakhon-sawan/takhli,46,9,Sunny,37.3,99.1,13.7,8.5,42,1,2025-04-04 10:30,1743737400,0,0,29.87,1012,34.3,93.7,6.1,10,6,183,S,11.9,7.4,th
