_id,uid,city,state,country,aqi,slug,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,senegal/matam/matam,1,0,Sunny,43.0,109.3,30.0,18.7,24,1,2025-04-05 18:30,1743877800,0,0.0,29.71,1006,42.0,107.6,0.4,10,6,356,N,22.7,14.1,sn
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,mali/bamako/bamako,2,0,Sunny,41.4,106.6,14.5,9.0,11,1,2025-04-05 18:15,1743876900,0,0.0,29.77,1008,41.0,105.8,0.2,10,6,114,ESE,10.8,6.7,ml
670787f32e464133fcc0955c,-340786,Kaolack,Kaolack,Senegal,,senegal/kaolack/kaolack,3,0,Sunny,41.4,106.6,31.6,19.7,19,1,2025-04-05 18:30,1743877800,0,0.0,29.8,1009,41.0,105.8,0.6,10,6,357,N,25.6,15.9,sn
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,burkina-faso/boucle-du-mouhoun/nouna,4,0,Sunny,39.3,102.7,21.2,13.2,4,0,2025-04-05 18:30,1743877800,0,0.0,29.67,1005,39.6,103.2,0.0,10,6,65,ENE,13.3,8.3,bf
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,burkina-faso/centre/ouagadougou,5,0,Clear,38.9,102.0,24.5,15.2,7,0,2025-04-05 18:15,1743876900,0,0.0,29.77,1008,39.3,102.7,0.0,10,6,73,ENE,13.0,8.1,bf
670787ef2e464133fcc09260,-215293,Kano,Kano,Nigeria,,nigeria/kano/kano,6,0,Clear,37.2,99.0,23.4,14.6,10,0,2025-04-05 19:30,1743877800,0,0.0,29.85,1011,38.1,100.6,0.0,10,6,24,NNE,11.2,6.9,ng
66ded09a934726e744d95251,9164,Minatitlan,Veracruz,Mexico,89.0,mexico/veracruz/minatitlan,7,0,Sunny,46.2,115.1,25.3,15.7,40,1,2025-04-05 12:30,1743877800,0,0.0,29.76,1008,37.1,98.8,12.8,11,6,159,SSE,20.5,12.8,mx
66decfd9934726e744d7f6e0,11908,Merida,Yucatan,Mexico,23.0,mexico/yucatan/merida,8,75,Partly cloudy,40.8,105.4,31.5,19.6,39,1,2025-04-05 12:15,1743876900,0,0.0,29.87,1012,36.2,97.2,12.3,11,6,141,SE,27.4,17.0,mx
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,sudan/khartoum/khartoum,9,0,Clear,33.5,92.3,27.7,17.2,11,0,2025-04-05 20:30,1743877800,0,0.0,29.66,1004,35.3,95.5,0.0,10,6,3,N,16.9,10.5,sd
66ded09f934726e744d95b1d,9163,Poza Rica De Hidalgo,Veracruz,Mexico,823.0,mexico/veracruz/poza-rica-de-hidalgo,10,0,Sunny,37.1,98.8,10.8,6.7,42,1,2025-04-05 12:30,1743877800,0,0.0,29.69,1005,35.0,95.0,11.7,8,4,32,NNE,9.4,5.8,mx
670788602e464133fcc131b5,-351016,Birnin Kebbi,Kebbi,Nigeria,,nigeria/kebbi/birnin-kebbi,11,0,Clear,33.1,91.6,30.2,18.8,5,0,2025-04-05 19:30,1743877800,0,0.0,29.68,1005,34.9,94.9,0.0,10,6,33,NNE,14.4,8.9,ng
66decf94934726e744d783fb,8729,Solapur,Maharashtra,India,85.0,india/maharashtra/solapur,12,2,Clear,33.0,91.4,12.1,7.5,17,0,2025-04-05 23:45,1743876900,0,0.0,29.8,1009,34.8,94.7,0.0,10,6,60,ENE,8.3,5.1,in
670787ea2e464133fcc08f9c,-351010,Ilorin,Kwara,Nigeria,,nigeria/kwara/ilorin,13,8,Clear,34.2,93.6,27.2,16.9,34,0,2025-04-05 19:30,1743877800,0,0.0,29.69,1006,33.7,92.6,0.0,10,6,185,S,16.9,10.5,ng
66ded089934726e744d931d6,12674,Al Hufuf,Ash Sharqiyah,Saudi Arabia,15.0,saudi-arabia/ash-sharqiyah/al-hufuf,14,0,Clear,31.3,88.3,36.3,22.5,7,0,2025-04-05 21:15,1743876900,0,0.0,29.8,1009,33.4,92.1,0.0,10,6,117,ESE,17.3,10.7,sa
66decfd6934726e744d7f0f7,11298,Kalaburagi,Karnataka,India,45.0,india/karnataka/kalaburagi,15,5,Clear,32.1,89.8,14.7,9.1,25,0,2025-04-05 23:45,1743876900,0,0.0,29.8,1009,33.4,92.1,0.0,10,6,139,SE,9.7,6.0,in
670787ea2e464133fcc08f91,-107329,Kumasi,Ashanti,Ghana,,ghana/ashanti/kumasi,16,50,Partly cloudy,41.9,107.4,16.3,10.1,59,0,2025-04-05 18:30,1743877800,0,0.0,29.83,1010,33.4,92.1,0.0,10,6,215,SW,10.4,6.5,gh
67dd350c33d5fa82976b4518,840120030002,Sanderson,Florida,United States,28.0,united-states/florida/sanderson,17,0,Sunny,36.6,97.9,15.7,9.8,34,1,2025-04-05 14:30,1743877800,0,0.0,30.16,1021,33.4,92.1,9.4,16,9,184,S,13.7,8.5,us
66decf7a934726e744d751e7,12880,N Djamena,N Djamena,Chad,194.5,chad/n-djamena/n-djamena,18,0,Overcast,31.0,87.7,31.8,19.7,12,0,2025-04-05 19:15,1743876900,0,0.0,29.71,1006,33.1,91.6,0.0,4,2,339,NNW,15.1,9.4,td
66decf75934726e744d74bf0,13449,Abuja,Federal Capital Territory,Nigeria,125.5,nigeria/federal-capital-territory/abuja,19,25,Partly cloudy,31.7,89.0,13.1,8.1,53,0,2025-04-05 19:15,1743876900,0,0.0,29.8,1009,33.1,91.6,0.0,10,6,239,WSW,7.9,4.9,ng
66ded005934726e744d84c1c,6288,Fruit Cove,Florida,United States,29.0,united-states/florida/fruit-cove,20,0,Sunny,35.0,95.0,14.1,8.7,34,1,2025-04-05 14:15,1743876900,0,0.0,30.16,1021,33.0,91.4,9.1,16,9,188,S,12.2,7.6,us
66decf95934726e744d786df,12827,Vijayapura,Karnataka,India,73.0,india/karnataka/vijayapura,21,5,Clear,31.1,88.0,31.0,19.3,25,0,2025-04-05 23:45,1743876900,0,0.0,29.81,1010,32.6,90.7,0.0,10,6,90,E,20.5,12.8,in
66decf7e934726e744d75aa1,12770,Iranshahr,Sistan Va Baluchestan,Iran,32.0,iran/sistan-va-baluchestan/iranshahr,22,0,Clear,30.2,86.4,14.1,8.8,16,0,2025-04-05 21:45,1743876900,0,0.0,29.94,1014,32.4,90.3,0.0,10,6,241,WSW,7.6,4.7,ir
