_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
670787f32e464133fcc0955c,-340786,Kaolack,Kaolack,Senegal,,1,0,Sunny,46.9,116.4,15.7,9.8,14,1,2025-04-01 17:30,1743528600,0.0,0.0,29.71,1006,44.4,111.9,1.9,10.0,6,46,NE,13.7,8.5,sn
670788092e464133fcc0ace6,-339925,Matam,Matam,Senegal,,2,0,Sunny,45.1,113.1,5.7,3.6,25,1,2025-04-01 17:30,1743528600,0.0,0.0,29.65,1004,43.3,109.9,1.6,10.0,6,23,NNE,4.7,2.9,sn
66ded087934726e744d92ee2,12640,Bamako,Bamako,Mali,97.0,3,0,Sunny,40.4,104.6,22.8,14.2,8,1,2025-04-01 17:30,1743528600,0.0,0.0,29.74,1007,40.3,104.5,1.3,10.0,6,48,NE,19.8,12.3,ml
66ded08a934726e744d934c3,12881,Khartoum,Khartoum,Sudan,111.5,4,0,Clear,39.5,103.0,6.2,3.9,9,0,2025-04-01 19:30,1743528600,0.0,0.0,29.57,1001,39.7,103.4,0.0,10.0,6,356,N,3.6,2.2,sd
670787ef2e464133fcc09262,-239440,Nouna,Boucle du Mouhoun,Burkina Faso,,5,0,Sunny,39.1,102.5,15.7,9.8,5,1,2025-04-01 17:30,1743528600,0.0,0.0,29.62,1003,39.5,103.1,0.8,10.0,6,28,NNE,13.7,8.5,bf
66decf7b934726e744d754dc,13844,Ouagadougou,Centre,Burkina Faso,53.5,6,0,Sunny,38.6,101.5,12.6,7.8,7,1,2025-04-01 17:15,1743527700,0.0,0.0,29.71,1006,39.1,102.4,0.7,10.0,6,30,NNE,10.4,6.5,bf
670788602e464133fcc131b5,-351016,Birnin Kebbi,Kebbi,Nigeria,,7,0,Sunny,37.3,99.2,14.3,8.9,6,1,2025-04-01 18:30,1743528600,0.0,0.0,29.61,1003,38.2,100.8,0.3,10.0,6,314,NW,10.4,6.5,ng
670788602e464133fcc131a0,-37039,Ziguinchor,Ziguinchor,Senegal,,8,0,Sunny,36.1,96.9,23.6,14.7,45,1,2025-04-01 17:30,1743528600,0.0,0.0,29.71,1006,37.2,99.0,1.8,10.0,6,194,SSW,20.5,12.8,sn
670787ea2e464133fcc08f9c,-351010,Ilorin,Kwara,Nigeria,,9,50,Partly cloudy,39.0,102.2,26.2,16.3,45,1,2025-04-01 18:30,1743528600,0.0,0.0,29.71,1006,36.1,97.0,0.2,10.0,6,196,SSW,22.0,13.6,ng
670787ef2e464133fcc09260,-215293,Kano,Kano,Nigeria,,10,0,Clear,33.5,92.4,22.3,13.8,12,0,2025-04-01 18:30,1743528600,0.0,0.0,29.8,1009,35.3,95.5,0.2,8.0,4,40,NE,16.6,10.3,ng
66decf7a934726e744d751e7,12880,N Djamena,N Djamena,Chad,194.5,11,0,Overcast,33.4,92.2,25.7,15.9,9,0,2025-04-01 18:15,1743527700,0.0,0.0,29.68,1005,35.2,95.4,0.0,3.5,2,338,NNW,15.8,9.8,td
670787fe2e464133fcc0a426,-203737,Ciudad Guayana,Bolivar,Venezuela,,12,44,Partly Cloudy,36.0,96.8,12.0,7.5,35,1,2025-04-01 13:30,1743528600,0.0,0.0,29.82,1010,34.7,94.5,13.3,10.0,6,54,NE,10.4,6.5,ve
66decf94934726e744d783fb,8729,Solapur,Maharashtra,India,85.0,13,86,Patchy rain nearby,33.4,92.1,18.9,11.8,24,0,2025-04-01 22:45,1743527700,0.0,0.05,29.76,1008,34.6,94.3,0.0,10.0,6,120,ESE,14.0,8.7,in
66decf75934726e744d74bf0,13449,Abuja,Federal Capital Territory,Nigeria,125.5,14,25,Partly cloudy,36.8,98.3,16.7,10.4,47,1,2025-04-01 18:15,1743527700,0.0,0.0,29.74,1007,34.4,93.9,0.2,10.0,6,184,S,10.1,6.3,ng
