_id,uid,city,state,country,aqi,rank,cloud,condition_text,feelslike_c,feelslike_f,gust_kph,gust_mph,humidity,is_day,last_updated,last_updated_epoch,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,country_code
66decf9a934726e744d78fba,6436,Geraldton,Western Australia,Australia,18.0,1,0,Sunny,36.2,97.2,12.0,7.5,15,1,2025-04-01 11:15,1743477300,0.0,0.0,29.8,1009,37.1,98.8,8.1,10,6,82,E,10.4,6.5,au
670787bf2e464133fcc06359,VIR10352,Jalgaon,Maharashtra,India,,2,8,Sunny,32.2,90.0,8.5,5.3,12,1,2025-04-01 08:00,1743474600,0.0,0.0,29.78,1008,34.2,93.5,1.2,10,6,9,N,7.2,4.5,in
670787ba2e464133fcc05d6f,VIR2433,Bhusawal,Maharashtra,India,,3,7,Sunny,31.9,89.5,8.3,5.2,13,1,2025-04-01 08:00,1743474600,0.0,0.0,29.78,1009,33.9,93.1,1.0,10,6,42,NE,7.2,4.5,in
670787be2e464133fcc06060,VIR5835,Dhule,Maharashtra,India,,4,2,Sunny,31.7,89.0,10.8,6.7,9,1,2025-04-01 08:00,1743474600,0.0,0.0,29.79,1009,33.7,92.7,1.5,10,6,330,NNW,9.4,5.8,in
670787ba2e464133fcc05a7d,VIR698,Amravati,Maharashtra,India,,5,6,Sunny,31.4,88.5,22.0,13.6,12,1,2025-04-01 08:00,1743474600,0.0,0.0,29.8,1009,33.5,92.3,1.5,10,6,102,ESE,19.1,11.9,in
670787ce2e464133fcc07213,VIR26043,Yavatmal,Maharashtra,India,,6,5,Sunny,31.3,88.4,17.4,10.8,17,1,2025-04-01 08:00,1743474600,0.0,0.0,29.79,1009,33.4,92.2,1.6,10,6,106,ESE,14.0,8.7,in
670787c22e464133fcc0693f,VIR15554,Nanded,Maharashtra,India,,7,9,Sunny,31.9,89.3,21.9,13.6,27,1,2025-04-01 08:00,1743474600,0.0,0.0,29.8,1009,32.9,91.2,1.0,10,6,157,SSE,18.4,11.4,in
66decf94934726e744d783fb,8729,Solapur,Maharashtra,India,85.0,8,7,Sunny,31.6,88.9,17.8,11.1,26,1,2025-04-01 08:45,1743477300,0.0,0.0,29.8,1009,32.9,91.2,1.5,10,6,151,SSE,15.5,9.6,in
66decf9d934726e744d795b5,1817,Phra Phutthabat,Sara Buri,Thailand,80.0,9,23,Sunny,34.9,94.8,10.4,6.4,44,1,2025-04-01 10:15,1743477300,0.0,0.0,29.87,1012,32.8,91.0,6.2,10,6,55,NE,9.0,5.6,th
670787c62e464133fcc06e7c,VIR17414,Parbhani,Maharashtra,India,,10,7,Sunny,31.1,87.9,10.4,6.5,24,1,2025-04-01 08:00,1743474600,0.0,0.0,29.78,1009,32.6,90.7,0.7,10,6,142,SE,8.3,5.1,in
